TransFactor	Target
ATF1	MAGOHB
ATF1	MAGT1
ATF1	MAP3K11
ATF1	MAP3K6
ATF1	MAPK6
ATF1	MAPKAPK5
ATF1	MARCH5
ATF1	MARCH7
ATF1	MAST2
ATF1	MBD3
ATF1	MED15
ATF1	METTL25
ATF1	MGRN1
ATF1	MIB2
ATF1	MIS12
ATF1	MORF4L1
ATF1	MORF4L2
ATF1	MPND
ATF1	MYNN
ATF1	NAT6
ATF1	NDUFB5
ATF1	NECAP1
ATF1	NEDD1
ATF1	NFKBID
ATF1	NIF3L1
ATF1	NMD3
ATF1	NRAS
ATF1	NRBF2
ATF1	NUDCD1
ATF1	NUMA1
ATF1	NUS1
ATF1	ORC4
ATF1	ORMDL2
ATF1	OSBPL8
ATF1	PAPOLA
ATF1	PARPBP
ATF1	PCBP2
ATF1	PCNP
ATF1	PDCD10
ATF1	PHB2
ATF1	PKN2
ATF1	PLEKHH3
ATF1	PNO1
ATF1	PNPLA6
ATF1	POC1B
ATF1	POLR2M
ATF1	PPHLN1
ATF1	PPP1CB
ATF1	PPP1R12C
ATF1	PPP1R15B
ATF1	PPP2R5B
ATF1	PRIM1
ATF1	PRKAG1
ATF1	PRMT3
ATF1	PTGES3
ATF1	PTP4A1
ATF1	PTRH1
ATF1	PUS7L
ATF1	PWP1
ATF1	RAB11B
ATF1	RAB11FIP3
ATF1	RAB1A
ATF1	RAB21
ATF1	RAB6A
ATF1	RACGAP1
ATF1	RAP1B
ATF1	RARA
ATF1	RBM12
ATF1	RBM18
ATF1	RBM7
ATF1	RECQL5
ATF1	RFC3
ATF1	RFX1
ATF1	RGS3
ATF1	RNF41
ATF1	RPL41
ATF1	RPRD1A
ATF1	RPS26
ATF1	RQCD1
ATF1	S1PR2
ATF1	SAR1A
ATF1	SARNP
ATF1	SCAF11
ATF1	SCYL2
ATF1	SDE2
ATF1	SERP1
ATF1	SKIL
ATF1	SLC25A3
ATF1	SLC33A1
ATF1	SLC39A9
ATF1	SMEK2
ATF1	SNAPC5
ATF1	SNRPG
ATF1	SP1
ATF1	SPAST
ATF1	SPTLC1
ATF1	SPTY2D1
ATF1	SRGAP3
ATF1	SRP9
ATF1	STRAP
ATF1	STX4
ATF1	SYVN1
ATF1	TBC1D15
ATF1	TBL3
ATF1	TFCP2
ATF1	TMED2
ATF1	TMED7
ATF1	TMEM175
ATF1	TMEM183A
ATF1	TMEM259
ATF1	TMEM39A
ATF1	TOM1L2
ATF1	TRIAP1
ATF1	TRIM47
ATF1	TRIP6
ATF1	TRMT10C
ATF1	TRMT61B
ATF1	TRUB1
ATF1	TSFM
ATF1	TSNAX
ATF1	TTC21A
ATF1	TUBGCP6
ATF1	TUT1
ATF1	TVP23B
ATF1	TWF1
ATF1	TYK2
ATF1	UBQLN1
ATF1	UBXN4
ATF1	UQCRC2
ATF1	USP15
ATF1	USP20
ATF1	USP3
ATF1	VTA1
ATF1	WDR43
ATF1	WDR61
ATF1	WIZ
ATF1	XAB2
ATF1	XPOT
ATF1	XRN2
ATF1	YIPF6
ATF1	YME1L1
ATF1	YTHDF3
ATF1	YWHAQ
ATF1	YY1
ATF1	ZBTB17
ATF1	ZC3H15
ATF1	ZCRB1
ATF1	ZFAND6
ATF1	ZNF143
ATF1	ZNF410
ATF1	ZNF414
ATF1	ZNF653
ATF2	ABHD14A
ATF2	ABHD14B
ATF2	ABI1
ATF2	ACAA1
ATF2	ACADVL
ATF2	ACBD3
ATF2	ACER2
ATF2	ACTR2
ATF2	ADAM10
ATF2	ADAM17
ATF2	ADAM9
ATF2	ADAMTS13
ATF2	ADAT1
ATF2	ADAT3
ATF2	ADM5
ATF2	ADNP
ATF2	ADPRHL2
ATF2	AGAP3
ATF2	AGFG1
ATF2	AGO3
ATF2	AGPS
ATF2	AKAP10
ATF2	AKAP11
ATF2	AKAP8L
ATF2	ALDH6A1
ATF2	ALG10
ATF2	ALKBH6
ATF2	ALS2
ATF2	ANAPC1
ATF2	ANKRD13D
ATF2	ANKRD17
ATF2	ANKRD24
ATF2	ANKRD54
ATF2	AP3M1
ATF2	API5
ATF2	APPBP2
ATF2	APPL2
ATF2	AQR
ATF2	ARFGEF2
ATF2	ARFRP1
ATF2	ARHGEF1
ATF2	ARIH1
ATF2	ARL5A
ATF2	ARL5B
ATF2	ARL6IP6
ATF2	ARMC1
ATF2	ARMC8
ATF2	ARRDC2
ATF2	ASCC3
ATF2	ASNSD1
ATF2	ASXL2
ATF2	ATE1
ATF2	ATF1
ATF2	ATF6
ATF2	ATF7IP
ATF2	ATL3
ATF2	ATP5D
ATF2	ATP6V1A
ATF2	ATPIF1
ATF2	ATRN
ATF2	AURKAIP1
ATF2	AVL9
ATF2	B3GALT6
ATF2	BAG4
ATF2	BARD1
ATF2	BBX
ATF2	BCLAF1
ATF2	BIRC6
ATF2	BLOC1S5
ATF2	BLOC1S6
ATF2	BMP2K
ATF2	BMPR1A
ATF2	BMPR2
ATF2	BPTF
ATF2	BRAF
ATF2	BRCA2
ATF2	BROX
ATF2	BTBD1
ATF2	C11orf30
ATF2	C12orf49
ATF2	C16orf13
ATF2	C16orf93
ATF2	C17orf49
ATF2	C17orf59
ATF2	C17orf80
ATF2	C19orf24
ATF2	C19orf43
ATF2	C19orf60
ATF2	C1orf123
ATF2	C1orf35
ATF2	C21orf2
ATF2	C21orf33
ATF2	C2orf49
ATF2	C2orf69
ATF2	C3orf62
ATF2	C9orf16
ATF2	C9orf41
ATF2	CAND1
ATF2	CAPN7
ATF2	CAPRIN1
ATF2	CASC5
ATF2	CC2D1B
ATF2	CCDC101
ATF2	CCDC107
ATF2	CCDC12
ATF2	CCDC124
ATF2	CCDC130
ATF2	CCDC159
ATF2	CCDC186
ATF2	CCDC24
ATF2	CCDC57
ATF2	CCDC61
ATF2	CCDC84
ATF2	CCDC85B
ATF2	CCDC88B
ATF2	CCDC94
ATF2	CCM2
ATF2	CCNI
ATF2	CCNL2
ATF2	CCNT1
ATF2	CCS
ATF2	CDC37
ATF2	CDC40
ATF2	CDC5L
ATF2	CDC73
ATF2	CDK10
ATF2	CDK12
ATF2	CDK5RAP3
ATF2	CDK9
ATF2	CDKL5
ATF2	CDPF1
ATF2	CDYL
ATF2	CEMP1
ATF2	CEP350
ATF2	CEP85L
ATF2	CEP97
ATF2	CERS6
ATF2	CFAP97
ATF2	CHAMP1
ATF2	CHM
ATF2	CHMP2A
ATF2	CHUK
ATF2	CIRBP
ATF2	CLCN3
ATF2	CLOCK
ATF2	CLPX
ATF2	CLTB
ATF2	CNOT1
ATF2	COG5
ATF2	COMMD4
ATF2	COPB1
ATF2	COQ4
ATF2	COX19
ATF2	CPSF2
ATF2	CREB1
ATF2	CREBRF
ATF2	CRK
ATF2	CROCC
ATF2	CSAD
ATF2	CSNK1G1
ATF2	CSNK2A1
ATF2	CTCF
ATF2	CTDSPL2
ATF2	CUL2
ATF2	CUL3
ATF2	CUL4B
ATF2	CUL5
ATF2	CWC22
ATF2	CXADR
ATF2	CXorf56
ATF2	DAAM1
ATF2	DAPK3
ATF2	DCAF17
ATF2	DCK
ATF2	DCLRE1A
ATF2	DDR2
ATF2	DDX18
ATF2	DDX21
ATF2	DDX46
ATF2	DEK
ATF2	DENND1B
ATF2	DENND4A
ATF2	DGCR14
ATF2	DHX15
ATF2	DHX33
ATF2	DHX36
ATF2	DHX8
ATF2	DHX9
ATF2	DIP2B
ATF2	DMAP1
ATF2	DNAJB14
ATF2	DNAJC10
ATF2	DNAJC17
ATF2	DNAJC4
ATF2	DNLZ
ATF2	DOCK7
ATF2	DOHH
ATF2	DPM2
ATF2	DPP8
ATF2	DPY19L3
ATF2	DUS1L
ATF2	DUS2
ATF2	DYM
ATF2	DYNC1I2
ATF2	E4F1
ATF2	EAF1
ATF2	ECHDC2
ATF2	EDF1
ATF2	EDIL3
ATF2	EEA1
ATF2	EHBP1
ATF2	EIF2AK3
ATF2	EIF3A
ATF2	EIF4EBP3
ATF2	EIF4G2
ATF2	ELF1
ATF2	ELK4
ATF2	ELOF1
ATF2	ENDOG
ATF2	EP300
ATF2	EPC1
ATF2	EPT1
ATF2	ERC1
ATF2	ERCC4
ATF2	ERCC6L2
ATF2	ERLIN1
ATF2	ERN1
ATF2	ETV3
ATF2	EXD3
ATF2	EXOC5
ATF2	EXOC6B
ATF2	EYA3
ATF2	FAAH
ATF2	FAM168A
ATF2	FAM173A
ATF2	FAM175B
ATF2	FAM193B
ATF2	FAM208B
ATF2	FAM50A
ATF2	FAM63B
ATF2	FAM73A
ATF2	FAM98B
ATF2	FASTK
ATF2	FBXL15
ATF2	FBXL6
ATF2	FBXL8
ATF2	FBXO21
ATF2	FBXO30
ATF2	FBXO48
ATF2	FBXW4
ATF2	FCF1
ATF2	FDX1L
ATF2	FEM1B
ATF2	FER
ATF2	FITM2
ATF2	FKBP8
ATF2	FNDC3A
ATF2	FOXN2
ATF2	FRRS1
ATF2	FUBP1
ATF2	FUT10
ATF2	FUT11
ATF2	FYTTD1
ATF2	G3BP1
ATF2	G3BP2
ATF2	GAN
ATF2	GATC
ATF2	GFM1
ATF2	GGA1
ATF2	GMCL1
ATF2	GMFB
ATF2	GOLIM4
ATF2	GPALPP1
ATF2	GPATCH11
ATF2	GPATCH2L
ATF2	GPD2
ATF2	GPR176
ATF2	GPS2
ATF2	GPX1
ATF2	GSK3B
ATF2	GSTCD
ATF2	GTF2A1
ATF2	GTF2H3
ATF2	GTF2I
ATF2	GTF3C3
ATF2	GTF3C4
ATF2	HACD2
ATF2	HAT1
ATF2	HBS1L
ATF2	HCFC2
ATF2	HEATR1
ATF2	HELB
ATF2	HEXDC
ATF2	HIGD2A
ATF2	HINT2
ATF2	HIPK3
ATF2	HMBOX1
ATF2	HMGXB4
ATF2	HNRNPLL
ATF2	HNRNPR
ATF2	HSPA13
ATF2	HSPA8
ATF2	HUWE1
ATF2	HYI
ATF2	IARS
ATF2	IBTK
ATF2	IDE
ATF2	IGF2R
ATF2	IL6ST
ATF2	INAFM1
ATF2	INIP
ATF2	INO80E
ATF2	INTS2
ATF2	IPMK
ATF2	IPO11
ATF2	IPO5
ATF2	IPO7
ATF2	IPO8
ATF2	IPP
ATF2	IREB2
ATF2	IRF3
ATF2	ISG20L2
ATF2	ITCH
ATF2	JOSD2
ATF2	JUND
ATF2	KAT6A
ATF2	KBTBD4
ATF2	KBTBD7
ATF2	KCTD13
ATF2	KCTD20
ATF2	KDM1B
ATF2	KDM3A
ATF2	KDM5A
ATF2	KIAA0100
ATF2	KIAA0196
ATF2	KIAA0586
ATF2	KIAA1033
ATF2	KIAA1429
ATF2	KIAA1958
ATF2	KIF2A
ATF2	KIF3B
ATF2	KIF5B
ATF2	KLF7
ATF2	KLHDC10
ATF2	KLHL11
ATF2	KLHL23
ATF2	KLHL8
ATF2	KPNA3
ATF2	KPNA5
ATF2	KRR1
ATF2	KRTCAP2
ATF2	L2HGDH
ATF2	LATS1
ATF2	LCOR
ATF2	LEPROT
ATF2	LIMS1
ATF2	LIN52
ATF2	LMBR1
ATF2	LMBRD2
ATF2	LMNTD2
ATF2	LMTK2
ATF2	LNPEP
ATF2	LPP
ATF2	LRBA
ATF2	LRCH3
ATF2	LRCH4
ATF2	LRP12
ATF2	LRPPRC
ATF2	LRRC58
ATF2	LTN1
ATF2	LUC7L
ATF2	LUZP6
ATF2	LYPLA2
ATF2	LYSMD4
ATF2	MAGT1
ATF2	MAN1A1
ATF2	MAN1A2
ATF2	MAP3K7
ATF2	MAPK1
ATF2	MAPK14
ATF2	MAPK6
ATF2	MAPK8
ATF2	MAPRE1
ATF2	MARCH7
ATF2	MARS2
ATF2	MBD3
ATF2	MBD5
ATF2	MBTPS2
ATF2	MCFD2
ATF2	MCMBP
ATF2	MED1
ATF2	MED13
ATF2	MED26
ATF2	METTL14
ATF2	MFAP3
ATF2	MFN1
ATF2	MGA
ATF2	MGAT5
ATF2	MIB2
ATF2	MIIP
ATF2	MIS18BP1
ATF2	MMGT1
ATF2	MOB1A
ATF2	MOB4
ATF2	MPHOSPH9
ATF2	MPND
ATF2	MPP5
ATF2	MPZL3
ATF2	MRPL55
ATF2	MSI2
ATF2	MTDH
ATF2	MTMR14
ATF2	MVB12A
ATF2	MXD3
ATF2	MYCBP2
ATF2	MYO9A
ATF2	N4BP2
ATF2	NAA15
ATF2	NAA35
ATF2	NAA50
ATF2	NAF1
ATF2	NARFL
ATF2	NAT6
ATF2	NBEAL1
ATF2	NCOA2
ATF2	NCOA4
ATF2	NDC1
ATF2	NDOR1
ATF2	NDUFA2
ATF2	NDUFAF3
ATF2	NDUFS1
ATF2	NDUFS7
ATF2	NEDD1
ATF2	NEU3
ATF2	NF1
ATF2	NFATC2
ATF2	NFXL1
ATF2	NHLRC2
ATF2	NMD3
ATF2	NME3
ATF2	NOD1
ATF2	NOL12
ATF2	NOP9
ATF2	NOXA1
ATF2	NPAT
ATF2	NRAS
ATF2	NUP133
ATF2	NUP153
ATF2	NUP155
ATF2	NUP160
ATF2	NUP98
ATF2	OCEL1
ATF2	ODF3B
ATF2	ORC2
ATF2	OSBP
ATF2	OSBPL8
ATF2	OXLD1
ATF2	P2RY11
ATF2	PABPN1
ATF2	PAFAH1B2
ATF2	PANK3
ATF2	PAPOLA
ATF2	PAPOLG
ATF2	PBRM1
ATF2	PCYT1A
ATF2	PDHX
ATF2	PDK1
ATF2	PDP2
ATF2	PDS5B
ATF2	PDZD8
ATF2	PEX14
ATF2	PEX16
ATF2	PEX26
ATF2	PGLS
ATF2	PGM3
ATF2	PHF20
ATF2	PHKG2
ATF2	PIAS1
ATF2	PIAS2
ATF2	PIGN
ATF2	PIK3C3
ATF2	PIK3CA
ATF2	PIK3R4
ATF2	PIKFYVE
ATF2	PLEKHB2
ATF2	PLEKHM3
ATF2	PLXNC1
ATF2	PNKP
ATF2	POLA1
ATF2	POLR1A
ATF2	POLR1B
ATF2	POLR2B
ATF2	POLR2M
ATF2	POLR3A
ATF2	POMK
ATF2	PPIG
ATF2	PPIP5K2
ATF2	PPM1D
ATF2	PPP1R12A
ATF2	PPP1R12C
ATF2	PPP2R5E
ATF2	PPP3R1
ATF2	PPP4R2
ATF2	PPTC7
ATF2	PRDM10
ATF2	PRKDC
ATF2	PRKRIP1
ATF2	PRKRIR
ATF2	PRPF40A
ATF2	PRR11
ATF2	PSMB10
ATF2	PSMD1
ATF2	PSMG3
ATF2	PTOV1
ATF2	PTPN11
ATF2	PTRH1
ATF2	PUS7L
ATF2	QSER1
ATF2	QTRT1
ATF2	R3HDM1
ATF2	RAB10
ATF2	RAB24
ATF2	RAB30
ATF2	RAB39A
ATF2	RAB3GAP1
ATF2	RAB3GAP2
ATF2	RAB4B
ATF2	RAB6A
ATF2	RABEP2
ATF2	RABGGTA
ATF2	RAD23A
ATF2	RALGAPB
ATF2	RANBP2
ATF2	RAPGEF6
ATF2	RASA2
ATF2	RASEF
ATF2	RASSF3
ATF2	RASSF7
ATF2	RBBP5
ATF2	RBL1
ATF2	RBM12
ATF2	RBM27
ATF2	RBM7
ATF2	RC3H2
ATF2	RCAN3
ATF2	RCBTB1
ATF2	RDX
ATF2	RECQL
ATF2	REL
ATF2	REST
