sample	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-DK-A3WY-01	464.577827	2296.014405	2760.592232
TCGA-DK-A3X1-01	-1066.38815	-834.4641202	-1900.85227
TCGA-DK-A3X2-01	-2208.550606	-1700.658552	-3909.209158
TCGA-DK-A6AV-01	-1547.590856	-626.1748696	-2173.765725
TCGA-DK-A6AW-01	-1610.844841	-1160.467619	-2771.31246
TCGA-DK-A6B0-01	-2309.773801	-1108.978566	-3418.752367
TCGA-DK-A6B1-01	-1660.771588	-1180.413356	-2841.184944
TCGA-DK-A6B2-01	177.2459833	274.4717302	451.7177135
TCGA-DK-A6B5-01	-1426.958317	-38.20065201	-1465.158969
TCGA-DK-A6B6-01	-1877.018821	-213.2760843	-2090.294905
TCGA-DK-AA6L-01	-1463.89425	-134.7948735	-1598.689124
TCGA-DK-AA6M-01	-543.7791517	580.3720467	36.59289505
TCGA-DK-AA6P-01	-2028.439259	-1609.539659	-3637.978918
TCGA-DK-AA6Q-01	-2016.694789	134.8205789	-1881.87421
TCGA-DK-AA6R-01	-1478.6652	-681.450312	-2160.115512
TCGA-DK-AA6S-01	223.4399881	79.33404185	302.7740299
TCGA-DK-AA6T-01	-659.4919844	1388.660603	729.1686189
TCGA-DK-AA6U-01	-2281.550538	-1189.312805	-3470.863343
TCGA-DK-AA6W-01	-1582.869861	-1083.00484	-2665.874702
TCGA-DK-AA6X-01	-1110.369611	-172.2876663	-1282.657277
TCGA-DK-AA71-01	-1747.177772	-1045.003781	-2792.181552
TCGA-DK-AA74-01	899.6681248	1512.572582	2412.240707
TCGA-DK-AA75-01	-2332.48992	-1530.540162	-3863.030082
TCGA-DK-AA76-01	-2177.886249	-1731.546131	-3909.43238
TCGA-DK-AA77-01	-1929.814538	-429.7096534	-2359.524192
TCGA-E5-A2PC-01	-2108.704929	-418.7641533	-2527.469083
TCGA-E5-A4TZ-01	-2405.33477	-1003.466951	-3408.801721
TCGA-E5-A4U1-01	-2400.869783	-1673.27393	-4074.143713
TCGA-E7-A3X6-01	-1128.673036	121.6530985	-1007.019937
TCGA-E7-A3Y1-01	-1705.126464	-1022.916083	-2728.042547
TCGA-E7-A4IJ-01	-1893.53691	-481.7352045	-2375.272114
TCGA-E7-A4XJ-01	-1740.099984	-1257.121702	-2997.221686
TCGA-E7-A519-01	-1368.337282	311.4364812	-1056.9008
TCGA-E7-A541-01	-1363.355597	132.2779173	-1231.07768
TCGA-E7-A5KE-01	-2481.94985	-1658.954194	-4140.904044
TCGA-E7-A5KF-01	-2767.209567	-1236.951056	-4004.160623
TCGA-E7-A677-01	-1483.451898	-710.3347849	-2193.786683
TCGA-E7-A678-01	-2422.712675	-883.3819828	-3306.094658
TCGA-E7-A6MD-01	-459.4788795	12.72171013	-446.7571693
TCGA-E7-A6ME-01	-2093.254817	-693.8165521	-2787.071369
TCGA-E7-A6MF-01	-2236.944749	-1125.264278	-3362.209028
TCGA-E7-A7DU-01	-2064.883668	-999.8368701	-3064.720538
TCGA-E7-A7DV-01	188.5450509	1299.462835	1488.007886
TCGA-E7-A7PW-01	-2382.151079	-935.9459098	-3318.096989
TCGA-E7-A7XN-01	-1409.073573	1072.894766	-336.1788068
TCGA-E7-A85H-01	-1090.493175	-427.2051864	-1517.698362
TCGA-E7-A8O7-01	-1780.220347	-274.7509933	-2054.97134
TCGA-E7-A8O8-01	-1915.323521	-1112.686451	-3028.009972
TCGA-E7-A97P-01	-497.6009212	814.6586607	317.0577395
TCGA-E7-A97Q-01	-573.1170992	-650.0597706	-1223.17687
TCGA-FD-A3B3-01	113.4034273	959.6583656	1073.061793
TCGA-FD-A3B4-01	-381.7100365	336.8032341	-44.90680237
TCGA-FD-A3B5-01	-1228.09066	-976.3601141	-2204.450774
TCGA-FD-A3B6-01	-726.6331274	714.6718063	-11.96132111
