sample	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-4Z-AA83-01	0.072738133	0.037702173	0.033267064	0.175730575	0.043180725	0.04741786	0.038691056	0.027232571	0.124386588	0.252094
TCGA-4Z-AA84-01	0.07522305	0.051710467	0.034049364	0.221824425	0.07744525	0.04854314	0.050036778	0.031656243	0.1173433	0.06167295
TCGA-4Z-AA86-01	0.090444183	0.04934246	0.037979082	0.2318434	0.0642179	0.05031462	0.051508867	0.033693	0.106500425	0.085478175
TCGA-4Z-AA87-01	0.085167333	0.050066613	0.037406091	0.220000375	0.049798775	0.04778018	0.0477708	0.032826614	0.117134275	0.1726034
TCGA-4Z-AA89-01	0.082710333	0.046211453	0.068313518	0.155528775	0.057299225	0.04453224	0.043531367	0.039370757	0.111426875	0.10454965
TCGA-5N-A9KI-01	0.118647433	0.039866507	0.032237036	0.20943865	0.075486875	0.4147472	0.039277778	0.034456943	0.126399138	0.06696875
TCGA-5N-A9KM-01	0.1373725	0.050226613	0.046705082	0.142697525	0.106715275	0.4586216	0.047113956	0.030996929	0.12983578	0.226540825
TCGA-BL-A0C8-01	0.203579583	0.05043444	0.046460173	0.235668875	0.076467125	0.04801078	0.062175956	0.036157614	0.115587888	0.255514575
TCGA-BL-A13I-01	0.107754283	0.056966493	0.040030382	0.23868205	0.08138915	0.3326456	0.052494044	0.035065714	0.112506413	0.085946125
TCGA-BL-A13J-01	0.092397367	0.060129633	0.072867627	0.22246505	0.066440675	0.04608444	0.044848444	0.040380386	0.106838738	0.2288843
TCGA-BL-A13J-11	0.097075067	0.060072927	0.092940136	0.2162774	0.06957195	0.04377324	0.050729133	0.031786929	0.1253281	0.1609519
TCGA-BL-A3JM-01	0.151315417	0.04595862	0.040916145	0.1651692	0.070554475	0.05389564	0.044087	0.0326296	0.126774488	0.060778825
TCGA-BL-A5ZZ-01	0.110677533	0.027715712	0.0282738	0.221463675	0.0668039	0.5050242	0.050452567	0.024525314	0.105403515	0.182786125
