ADIPOGENESIS	ALLOGRAFT_REJECTION	ANDROGEN_RESPONSE	ANGIOGENESIS	APICAL_JUNCTION	APICAL_SURFACE	APOPTOSIS	BILE_ACID_METABOLISM	CHOLESTEROL_HOMEOSTASIS	COAGULATION	COMPLEMENT	DNA_REPAIR	E2F_TARGETS	EPITHELIAL_MESENCHYMAL_TRANSITION	ESTROGEN_RESPONSE_EARLY	ESTROGEN_RESPONSE_LATE	FATTY_ACID_METABOLISM	G2M_CHECKPOINT	GLYCOLYSIS	HEDGEHOG_SIGNALING	HEME_METABOLISM	HYPOXIA	IL2_STAT5_SIGNALING	IL6_JAK_STAT3_SIGNALING	INFLAMMATORY_RESPONSE	INTERFERON_ALPHA_RESPONSE	INTERFERON_GAMMA_RESPONSE	KRAS_SIGNALING_DN	KRAS_SIGNALING_UP	MITOTIC_SPINDLE	MTORC1_SIGNALING	MYC_TARGETS_V1	MYC_TARGETS_V2	MYOGENESIS	NOTCH_SIGNALING	OXIDATIVE_PHOSPHORYLATION	P53_PATHWAY	PANCREAS_BETA_CELLS	PEROXISOME	PI3K_AKT_MTOR_SIGNALING	PROTEIN_SECRETION	REACTIVE_OXYGEN_SPECIES_PATHWAY	SPERMATOGENESIS	TGF_BETA_SIGNALING	TNFA_SIGNALING_VIA_NFKB	UNFOLDED_PROTEIN_RESPONSE	UV_RESPONSE_DN	UV_RESPONSE_UP	WNT_BETA_CATENIN_SIGNALING	XENOBIOTIC_METABOLISM	Cuproptosis Positive	Cuproptosis negative
SOD1	ACVR2A			DHX16		ETF1				EHD1		PMS2	SFRP4	RHOD	UNC13B	ENO2	ORC5	PKP2		AQP3	SLC2A5	MAP6		IRF7		SSPN	EPHA5	STRN	ACTN4	MLLT11	SLC25A3		REEP1		MRPS30	MKNK2								CCNL1			CCK		HES6		
PTCD3	CXCR3			ACTG2		CCNA1				PRSS3		ASF1A	LGALS1	INPP5F	LAMC2		SAP30	ABCB6		TRIM58	SRPX	TNFSF10		MET		NUP93	SOX10	ST6GAL1	PKD2	GCLC	MRPL9		EIF4A2		ATP1B1	CD82								FUT4					GCNT2		
PHLDB1	PRKCB			NEGR1		GUCY2D				COL4A2		EXOSC8	RGS4	PPIF	LARGE1		KATNA1	DCN		LMO2	EFNA1	SPRED2		ATP2A2		MTHFD2	SNN	PIGR	CLIP2	TCEA1	POLE3		SH2B1		BDH2	RACK1								CCRL2					MAN1A1		
ENPP2	CXCL9			NF1		AVPR1A				CSRP1		MLH1	CDH6	DHRS3	SLC2A8		HNRNPD	GMPPA		PICALM	GLRX	SELL		SLC31A2		CDKN1A	CACNG1	VWA5A	CDC42	MAP2K3	POLD2		MYBPC3		SLC25A12	ST14								SPSB1					IGFBP1		
HSPB8	PTPN6			ADAM23						PIK3R5		NUP107	SAT1	FDFT1	PLXNB1		POLA2	BPNT1		NCOA4	ACKR3	SERPINC1		FZD5		IRF4	SPHK2	PSMB8	NDC80	HSPD1	H2AZ1		ITGA7		TIMM50	TCHH								TSC22D1					ITIH4		
AIFM1	NCF4			PLCG1						SERPINC1		ORC2	NT5E	GAB2	PRKAR2B		HIRA	ANG		GDE1	PAM	CDCP1		ITGA5		NFKB1	IGFBP2	F13A1	TLK1	SYTL2	AIMP2		SPTAN1		MRPL34	HDAC3								B4GALT5					PROS1		
CCNG2	UBE2D1			KCNH2						ANG		TP53	DPYSL3	UNC119	RPS6KA2		HIF1A	GPR87		SLC6A9	TGFBI	RORA		SGMS2		BATF2	CAPN9	NRP1	TAOK2	MCM4	NOP56		SORBS3		ISCA1	CCNK								SIK1					TPST1		
PPP1R15B	LIF			CERCAM						APOBEC3F		TFRC	PPIB	KLF10	HSPA4L		SYNCRIP	GAL3ST1		NNT	DCN	COCH		MARCO		HLA-B	TCF7L1	SOX9	TBCD	PPP1R15A	PRDX3		PC		MRPL35	RHBDF2								CLCF1					LEAP2		
MDH2	CCR1			NRTN						GATA3		HMGA1	TGM2	HES1	TFPI2		TLE3	ALDH7A1		ARHGEF12	SIAH2	CSF1		CD14		LATS2	TGFB2	JUP	CAPZB	USO1	MRPS18B		SCD		IDH1	NUDT15								NFE2L2					NFS1		
ABCA1	MBL2			IKBKG						DUSP5		PSIP1	SGCG	FKBP5	SERPINA1		NCL	NT5E		PPP2R5B	PLAC8	F2RL2		EIF2AK2		IRF5	SMPX	ADGRL4	DOCK2	NFKBIB	EPRS1		GNAO1		HSPA9	TGFA								FOSB					PGRMC1		
COX7B	DEGS1			DSC3						CASP3		DDX39A	ITGB3	SLC2A1	TNNC1		RAD23B	IDH1		C3	FBP1	UCK2		ROS1		SLAMF7	LYPD3	ZNF277	CTTN	UNG	KPNA2		STC2		MRPL15	ISCU								PER1					CYP17A1		
MYLK	TPD52			ACTB						USP16		SNRPB	PDLIM4	AMFR	HMGCS2		E2F2	PYGL		MARCHF2	TPST2	CA2		ATP2C1		ISOC1	PNMT	EPB41L3	SMC4	GTF2H1	HSP90AB1		CFD		MRPS15	LDHB								NFAT5					ARPP19		
COX8A	AKT1			TUBG1						CP		CDKN1B	CTHRC1	NADSYN1	ALDH3A2		EGF	NDUFV3		UCP2	PHKG1	IFITM3		NDP		P2RY14	SYNPO	PCSK1N	ARFGEF1	RPA1	RPL34		RB1		TOMM70	TNNI1								ATP2B1					SERTAD1		
DHRS7B	RIPK2			PPP2R2C						PSEN1		MTHFD2	ECM2	INHBB	CD9		HMGN2	NDST3		SYNJ1	MYH9	UMPS		BTG2		STAT3	MX1	FUCA1	TUBA4A	HSP90B1	SRPK1		BAG1		TCIRG1	FGF13								IL12B					ARG2		
MIGA2	IKBKB			HRAS						LIPA		WEE1	CRLF1	BHLHE40	IDH2		SRSF10	PPP2CB		FN3K	CDKN1C	HUWE1		MSR1		NCOA3	IFNG	PLVAP	LMNB1	ERO1A	MAD2L1		ABLIM1		ISCU	RXRA								IL6ST					HNF4A		
MGLL	GCNT1			MMP9						PCSK9		PRDX4	AREG	CALB2	SORD		SNRPD1	PSMC4		ABCG2	GRHPR	COL6A1		PTPRE		HLA-A	NR6A1	ADAM17	ABI1	GSR	DHX15		PTGIS		POLR2F	APP								SLC16A6					REG1A		
ITSN1	SOCS5			TNFRSF11B						DGKG		PHF5A	IL15	FASN	MDK		CASP8AP2	TPBG		DAAM1	PCK1	ABCB1		RNF144B		IL6	ACTC1	AVL9	ROCK1	PITPNB	MCM4		MAPRE3		NQO2	F2R								ABCA1					CCL25		
DHCR7	IRF8			PKD1						GNG2		TBRG4	MCM7	CHPT1	ALDH3B1		SMARCC1	TGFBI		AGPAT4	INHA	RNH1		PCDH7		GZMA	RSAD2	ADAMDEC1	CEP192	EPRS1	RPS5		OCEL1		NDUFC2	CLCA2								HES1					PEMT		
RREB1	TAP2			CDK8						ME1		SHMT1	GAS1	MYBBP1A	PTGER3		SLC12A2	GALK2		CCDC28A	HSPA5	IRF8		SPHK1		IFNAR2	ADRA2C	HKDC1	BUB1	SRD5A1	CCT7		SH3BGR		MRPS22	CGRRF1								BCL6					ACO2		
CMBL	EIF4G3			FYB1						GMFB		PRPS1	PRSS2	ELOVL5	RABEP1		NOTCH2	CTH		GMPS	NDST2	GUCY1B1		IL18RAP		CD74	BARD1	MAP7	GEMIN4	TUBG1	HDGF		NOTCH1		POR	CSRNP2								IRS2					LONP1		
UBC	ABI1			AMIGO1						SCG3		DIAPH3	CADM1	DYNLT3	KLF4		TNPO2	KIF2A		ACP5	NEDD4L	AHCY		RTP4		RAPGEF6	HTR1B	IL7R	PLEKHG2	MTHFD2L	RPS6		TSC2		ATP6V0E1	ACVR1B								SLC2A3					NMT1		
ATP5PO	CCL7			CD276						PPP4C		NUP153	OXTR	ABLIM1	PPIF		SMAD3	CACNA1H		SLC10A3	TPBG	PRAF2		RAF1		CASP4	FGF16	RBM4	RICTOR	ADIPOR2	SNRPB2		TGFB1		PHYH	BMP2								CEBPD					PTGES3		
PRDX3	IL2RB			GAMT						CCL5		PSMC3IP	SCG2	SOX3	SNX10		MAP3K20	ANKZF1		ALDH6A1	XPNPEP1	GSTO1		CHST2		FAS	TENM2	BPGM	BCL2L11	NUFIP1	PSMC4		FDPS		MPC1	GPX2								IL23A					F10		
DBT	BRCA1			NLGN3						CTSH		XRCC6	CXCL6	SLC24A3	METTL3		HSPA8	SAP30		CIR1	IL6	TWSG1		ITGB3		OGFR	CDKAL1	ENG	DYNC1H1	CDC25A	CDC20		CAMK2B		GPI	KRT17								SMAD3					TAT		
NDUFS3	FGR			SKAP2						F8		PNN	MMP1	RAB17	PLK4		G3BP1	RBCK1		RBM5	SLC6A6	CDC42SE2		KIF1B		ARL4A	SHOX2	GFPT2	FSCN1	PDAP1	TUFM		EPHB3		AFG3L2	TM7SF3								TAP1					MARCHF6		
NKIRAS1	IL18RAP			RRAS						APOA4		HUS1	TNFAIP3	MAST4	COX6C		PTTG3P	ELF3		HTRA2	MAP3K1	PLAGL1		SELE		SRI	SGK1	PLAU	ARHGEF7	STARD4	RRP9		GADD45B		HSD17B10	ZBTB16								MSC					JUP		
RAB34	MRPL3			CAP1						IL6		RBBP7	CAPG	KCNK5	ST14		DMD	RPE		IGSF3	LDHC	APLP1		NOD2		LYSMD2	RIBC2	GNG11	DYNLL2	BUB1	CDC45		APP		CASP7	PTPN14								IFIH1					ACP1		
CIDEA	CXCL13			EXOC4						AKAP10		PDS5B	CAP2	ELF1	NCOR2		MEIS1	B4GALT4		BTRC	AKAP12	PLPP1		C5AR1		CSF2RB	SKIL	PTCD2	MYO1E	ARPC5L	TYMS		APLNR		PRDX3	TSPYL2								IL15RA					MBL2		
UQCRQ	CAPG			ACTA1						ERAP2		NOP56	MXRA5	RPS6KA2	MOCS2		HNRNPU	DEPDC1		PGLS	TES	SPRY4		EMP3		ST3GAL5	NGB	MAP3K1	BIN1	GPI	ILF2		ITGB4		MGST3	SLC3A2								TNIP2					TGFB2		
PEX14	EIF5A			TIAL1						VCPIP1		MXD3	FOXC2	ISG20L2	NMU		SRSF2	RRAGD		SLC66A2	KIF5A	SCN9A		CLEC5A		C1R	ASB7	CBL	NOTCH2	EIF2S2	VDAC3		SOD3		HTRA2	S100A4								BCL3					ENPEP		
BCL6	RPS3A			LDLRAP1						HSPA1A		PPP1R8	NTM	IL6ST	TH		MT2A	IER3		SDCBP	LALBA	SHE		TACR3		CASP3	MYO15A	CXCR4	RFC1	CD9	IMPDH2		FOXO4		BCKDHA	GLS2								PANX1					HSD17B2		
COX6A1	GALNT1			VAV2						RAF1		GSPT1	ENO2	SYNGR1	RNASEH2A		NUP98	ALDH9A1		LRP10	COL5A1	PDCD2L		SLC4A4		CMKLR1	SLC5A5	NIN	PDLIM5	ATP2A2	SF3B3		EFS		LRPPRC	CCND3								FJX1					ANGPTL3		
DNAJB9	ST8SIA4			AKT3						NOTCH4		CDKN2A	FAS	SH3BP5	CHST8		EWSR1	DLD		NEK7	GPC1	CCND3		MEP1A		NFKBIA	KRT5	IKZF1	RHOT2	GGA2	NOP16		PFKM		RETSAT	PRMT2								EDN1					PC		
MAP4K3	CCL13			SYMPK						ADRA2B		AK2	BDNF	ALDH3B1	TST		KIF5B	MERTK		ARL2BP	HDLBP	LRIG1		SELENOS		METTL7B	ZNF112	WDR33	SORBS2	HMBS	SRSF7		COL6A2		ECH1	NHLH2								EIF1					PDLIM5		
ANGPT1	RPL3L			STX4						CEBPB		CIT	ADAM12	THSD4	TOP2A		MTF2	GCLC		ENDOD1	ILVBL	SWAP70		LTA		ST8SIA4	TFAP2B	MYCN	CDC42EP1	RIT1	GNL3		DTNA		RHOT2	BAIAP2								BMP2					CYP2E1		
UBQLN1	LY75			PECAM1						HNF4A		ING3	PVR	CLIC3	CKB		E2F4	FKBP4		P4HA2	NCAN	SLC39A8		PIK3R5		XCL1	VPS50	FCER1G	VCL	SKAP2	EXOSC7		KIFC3		BAX	RETSAT								DUSP4					BCAT1		
NDUFB7	TAPBP			MADCAM1						LGALS3		JPT1	CXCL12	NXT1	LTF		BCL3	SOD1		HTATIP2	TGM2	RABGAP1L		STAB1		IL2RB	CD80	PECAM1	CLIP1	STIP1	MRPL23		SPARC		MTRF1	IRAG2								PDLIM5					ATOH8		
SLC19A1	NOS2			ITGA9						TNFAIP3		POP7	PDGFRB	NAV2	DUSP2		PURA	MED24		SLC7A11	ETS1	TGM2		IRF1		VAMP5	ATP4A	CCSER2	STK38L	DAPP1	RAD23B		SPDEF		GLUD1	H1-2								ICOSLG					SLC1A5		
ABCB8	RPL9			CD86						CDH13		SYNCRIP	SLIT2	RRP12	PTPN6		MEIS2	AK3		KHNYN	HOXB9	PNP		ICAM4		IL18BP	ARPP21	SNAP91	YWHAE	ABCF2	RPS10		SLN		SUPV3L1	DNTTIP2								GFPT2					IRF8		
SLC66A3	BCAT1			TRO						ITIH1		EIF2S1	NOTCH2	ADCY1	ATP2B4		PAFAH1B1	XYLT2		MBOAT2	SELENBP1	AGER		P2RX4		ZNFX1	SERPINB2	EVI5	RAPGEF5	NFYC	PHB		WWTR1		GRPEL1	MXD4								KLF2					NINJ1		
POR	IL9			CLDN5						TFPI2		LYAR	COLGALT1	DHCR7	ST6GALNAC2		WRN	ARTN		ATP6V0A1	FOSL2	ETV4		ABI1		ARID5B	TLX1	TNFRSF1B	CEP72	ATP5MC1	DDX21		CD36		PDP1	SEC61A1								TNC					AP4B1		
UCP2	IL27RA			MPZL1						PIK3CG		PAN2	GPX7	MICB	ADD3		H2AZ2	PPIA		CAST	SULT2B1	CD86		CX3CL1		APOL6	EFHD1	GPNMB	CSNK1D	PFKL	CYC1		ADCY9		ALDH6A1	HMOX1								SERPINB8					ACSM1		
UQCR11	DYRK3			WASL						S100A13		SPC24	WIPF1	AKAP1	DYNLT3		ODF2	CHST4		TYR	TGFB3			SLC28A2		STAT4	P2RY4	TPH1		CCT6A	PABPC1		APOD		OAT	RAD9A								MXD1					ITIH1		
